Protein,Gene,Transcript,SignalP,TargetP,TMHMM,PredGPI,WoLF.PSORT,SecretomeP,Uniprot
ENSP00000365011,ENSG00000186354,ENST00000375851,0.729,0.925,PredHel=0,0.899029,"extr 12.5, mito 9, extr_plas 9, plas 4.5, mit",0.937,Q6ZRZ4
ENSP00000365025,ENSG00000204435,ENST00000375865,0.16,0.121,PredHel=0,0.922208,"extr 10, cysk 9, cyto 8, nucl 5, extr_plas 5",0.9,P67870
ENSP00000365026,ENSG00000204435,ENST00000375866,0.16,0.121,PredHel=0,0.922208,"extr 10, cysk 9, cyto 8, nucl 5, extr_plas 5",0.9,P67870
ENSP00000365040,ENSG00000263020,ENST00000375880,0.16,0.121,PredHel=0,0.878142,"nucl 12.5, extr 12, cyto_nucl 11, cyto 6.5",0.947,Q5SRQ3
ENSP00000365042,ENSG00000204435,ENST00000375882,0.16,0.121,PredHel=0,0.922208,"extr 10, cysk 9, cyto 8, nucl 5, extr_plas 5",0.9,P67870
ENSP00000365048,ENSG00000102524,ENST00000375887,0.116,0.149,PredHel=1,0.924623,"cyto 12.5, plas 7, cyto_mito 7, extr_plas 6, ",0.929,Q9Y275
ENSP00000365110,ENSG00000162438,ENST00000375943,0.716,0.951,PredHel=0,0.00140397,extr 31,0.953,Q68DR9
ENSP00000365270,ENSG00000204482,ENST00000376102,0.388,0.845,PredHel=0,0.785511,"extr 24, nucl 8",0.949,NA
ENSP00000365285,ENSG00000204487,ENST00000376117,0.217,0.633,PredHel=1,0.321384,"extr 18, mito_pero 4.33333, pero 4, mito 2.5,",0.97,Q06643
ENSP00000365320,ENSG00000068985,ENST00000376150,0.109,0.031,PredHel=0,0.804613,"nucl 19.5, cyto_nucl 14, cyto 5.5, mito 5",0.936,O75459
ENSP00000365478,ENSG00000095777,ENST00000376301,0.135,0.112,PredHel=0,0.30207,"cyto 18, cyto_nucl 15.5, nucl 11",0.937,B1ANA3
ENSP00000365479,ENSG00000095777,ENST00000376302,0.135,0.112,PredHel=0,0.658427,"cyto_nucl 15.5, cyto 15, nucl 12, cysk 3",0.923,Q8NEV4
ENSP00000365480,ENSG00000102003,ENST00000376303,0.169,0.274,PredHel=0,0.247094,"cyto 20.5, cyto_nucl 15.5, nucl 5.5, mito 4",0.907,G5E9A2
ENSP00000365492,ENSG00000180483,ENST00000376315,0.84,0.985,PredHel=0,0.541197,extr 31,0.949,Q8N690
ENSP00000365499,ENSG00000180483,ENST00000376321,0.722,0.947,PredHel=0,0.702663,extr 30,0.909,Q8N690
ENSP00000365556,ENSG00000099256,ENST00000376376,0.109,0.082,PredHel=0,0.992181,"cysk 12, extr 9, cyto 9, cyto_nucl 6, cysk_pl",0.932,Q9NRG1
ENSP00000365557,ENSG00000137331,ENST00000376377,0.128,0.104,PredHel=0,0.994467,"cyto_nucl 12.5, nucl 11, cyto_mito 9.66667, m",0.932,Q5ST79
ENSP00000365586,ENSG00000175170,ENST00000376404,0.108,0.213,PredHel=0,0.559764,"extr 22, nucl 5.5, cyto_nucl 5, cyto 3.5",0.932,F6T327
ENSP00000365599,ENSG00000148057,ENST00000376417,0.215,0.314,PredHel=0,0.305759,"extr 26, cyto 3",0.91,Q5T6J8
ENSP00000365651,ENSG00000120937,ENST00000376468,0.84,0.889,PredHel=0,0.326837,extr 31,0.934,P16860
ENSP00000365659,ENSG00000175206,ENST00000376476,0.102,0.215,PredHel=0,0.626372,"nucl 17, cyto_nucl 15, cyto 9, extr 6",0.929,B0ZBE8
ENSP00000365747,ENSG00000102103,ENST00000376563,0.117,0.058,PredHel=0,0.968025,"nucl 25, mito 6",0.917,O60828
ENSP00000365750,ENSG00000102103,ENST00000376566,0.117,0.042,PredHel=0,0.978666,"mito 17, cyto 6.5, cyto_nucl 6, nucl 4.5, ext",0.955,O60828
ENSP00000365839,ENSG00000135960,ENST00000376651,0.619,0.764,PredHel=1,0.976791,"extr 17.5, extr_plas 11.5, plas 4.5, cyto 3.5",0.962,Q9UNE0
ENSP00000365853,ENSG00000102145,ENST00000376665,0.123,0.134,PredHel=0,0.96436,nucl 32,0.927,B7WNQ9
ENSP00000365913,ENSG00000136731,ENST00000376723,0.167,0.111,PredHel=0,0.779842,extr 31,0.922,E2QRN8
ENSP00000365978,ENSG00000066379,ENST00000376782,0.117,0.128,PredHel=0,0.193894,"extr 23, nucl 7, cyto_nucl 5.5",0.959,Q9P1U0
ENSP00000365981,ENSG00000066379,ENST00000376785,0.117,0.128,PredHel=0,0.193894,"extr 23, nucl 7, cyto_nucl 5.5",0.959,Q9P1U0
ENSP00000365995,ENSG00000167759,ENST00000376799,0.199,0.335,PredHel=0,0.919466,"extr 22, cyto 7",0.934,Q5BQ95
ENSP00000366032,ENSG00000148444,ENST00000376836,0.188,0.209,PredHel=0,0.978587,"cyto_nucl 18, cyto 15.5, nucl 13.5",0.902,Q9UBI1
ENSP00000366049,ENSG00000167755,ENST00000376853,0.825,0.963,PredHel=0,0.699223,extr 31,0.951,E7ETY0
ENSP00000366061,ENSG00000204640,ENST00000376865,0.637,0.918,PredHel=0,0.760361,"extr 26, mito 4",0.936,Q5H8A3
ENSP00000366086,ENSG00000204655,ENST00000376889,0.121,0.063,PredHel=0,0.853872,"cyto 15.5, cyto_nucl 11.5, mito 8, nucl 4.5, ",0.906,H0Y8A0
ENSP00000366090,ENSG00000165584,ENST00000376893,0.101,0.083,PredHel=0,0.898352,"cyto 18, mito 7, extr 3, nucl 2, pero 2",0.903,Q99909
ENSP00000366100,ENSG00000204655,ENST00000376902,0.886,0.915,PredHel=0,0.626074,"extr 28, lyso 3",0.956,NA
ENSP00000366124,ENSG00000101439,ENST00000376925,0.898,0.933,PredHel=1,0.125442,extr 31,0.924,P01034
ENSP00000366149,ENSG00000197779,ENST00000376950,0.106,0.1,PredHel=0,0.795112,"nucl 16, cyto_nucl 14.5, cyto 9, extr 5",0.934,B1AJV2
ENSP00000366223,ENSG00000204669,ENST00000377024,0.19,0.683,PredHel=1,0.917605,"E.R._mito 8.16667, extr 8, mito 7.5, cyto 7, ",0.938,Q5W0N0
ENSP00000366295,ENSG00000078403,ENST00000377091,0.106,0.073,PredHel=0,0.997445,"nucl 14.5, cyto_nucl 13, extr 11, cyto 6.5",0.951,P55197
ENSP00000366301,ENSG00000083067,ENST00000377097,0.111,0.301,PredHel=0,0.587733,"cyto 18.5, cyto_nucl 16.1667, cyto_plas 11.5,",0.9,H0Y3D4
ENSP00000366322,ENSG00000204683,ENST00000377118,0.148,0.267,PredHel=0,0.927479,"cyto 16.5, cyto_nucl 11, mito 5, nucl 4.5, ex",0.906,NA
ENSP00000366347,ENSG00000125820,ENST00000377142,0.11,0.064,PredHel=0,0.934619,nucl 32,0.962,O95096
ENSP00000366389,ENSG00000108852,ENST00000377184,0.103,0.082,PredHel=0,0.863548,"nucl 24.5, cyto_nucl 17.5, cyto 7.5",0.908,A0A0A0MRU0
ENSP00000366390,ENSG00000204710,ENST00000377185,0.135,0.309,PredHel=0,0.887339,"nucl 14.5, cyto_nucl 10.5, extr 10, cyto 5.5",0.91,Q5MJ68
ENSP00000366508,ENSG00000089101,ENST00000377293,0.118,0.076,PredHel=1,0.719573,"extr 20.5, extr_plas 11, pero 4, cyto 3, E.R.",0.916,Q8NHU2
ENSP00000366561,ENSG00000196873,ENST00000377344,0.103,0.091,PredHel=0,0.533905,"cyto 19.5, cyto_nucl 12, extr 6, nucl 3.5",0.931,Q5JTY2
ENSP00000366566,ENSG00000196873,ENST00000377349,0.102,0.082,PredHel=0,0.442157,"cyto 15, extr 9, nucl 6",0.929,F2Z3P0
ENSP00000366601,ENSG00000147996,ENST00000377384,0.103,0.092,PredHel=0,0.654331,"extr 18, cyto 10.5, cyto_nucl 7",0.967,Q5RIB5
ENSP00000366606,ENSG00000147996,ENST00000377389,0.102,0.082,PredHel=0,0.442157,"cyto 15, extr 9, nucl 6",0.929,F2Z3P0
ENSP00000366658,ENSG00000204790,ENST00000377439,0.103,0.088,PredHel=0,0.604625,"cyto 20, extr 6, pero 3, extr_plas 3",0.936,NA
ENSP00000366660,ENSG00000204790,ENST00000377441,0.103,0.092,PredHel=0,0.654331,"extr 18, cyto 10.5, cyto_nucl 7",0.967,NA
ENSP00000366789,ENSG00000179528,ENST00000377566,0.19,0.066,PredHel=0,0.910788,"nucl 11.5, cyto_nucl 9.5, cyto 6.5, extr 5, p",0.972,Q6XYB7
ENSP00000366841,ENSG00000188243,ENST00000377615,0.103,0.104,PredHel=0,0.76053,"cyto 18.5, cyto_nucl 13.5, extr 6, nucl 5.5",0.936,Q7Z4G1
ENSP00000366883,ENSG00000204851,ENST00000377655,0.145,0.147,PredHel=0,0.920024,"nucl 21, cyto_nucl 16.5, cyto 10",0.912,NA
ENSP00000367026,ENSG00000019582,ENST00000377795,0.112,0.076,PredHel=1,0.520324,"nucl 13, mito 12, cyto 6, E.R._mito 6, mito_p",0.959,P04233
ENSP00000367049,ENSG00000204899,ENST00000377818,0.18,0.107,PredHel=0,0.869087,"extr 15, cyto_nucl 10, nucl 7.5, cyto 7.5, ex",0.936,Q08AG7
ENSP00000367114,ENSG00000083544,ENST00000377882,0.12,0.05,PredHel=0,0.416664,"cyto_nucl 15.5, cyto 13.5, nucl 12.5, mito 4",0.902,B1AMN9
ENSP00000367168,ENSG00000147113,ENST00000377934,0.705,0.941,PredHel=0,0.9275,"extr 23, plas 3, E.R._mito 2, mito 1.5, E.R. ",0.916,Q9H7Y0
ENSP00000367198,ENSG00000136110,ENST00000377962,0.103,0.167,PredHel=1,0.50825,"cyto 16, plas 5, nucl 5, E.R. 4",0.952,O75829
ENSP00000421193,ENSG00000112695,ENST00000377978,0.259,0.109,PredHel=0,0.0654956,mito 29,0.944,D6RGV5
ENSP00000367251,ENSG00000204936,ENST00000378012,0.948,0.974,PredHel=0,0.220587,extr 31,0.912,Q8N6Q3
ENSP00000367252,ENSG00000145819,ENST00000378013,0.15,0.164,PredHel=0,0.541786,"cyto 21, nucl 6, mito 3",0.912,F8W8N5
ENSP00000367284,ENSG00000069509,ENST00000378045,0.103,0.103,PredHel=0,0.51074,"cyto 12.5, cyto_mito 9, pero 8, mito 4.5, nuc",0.935,Q8IVP5
ENSP00000367297,ENSG00000172264,ENST00000378058,0.109,0.053,PredHel=0,0.255902,"cyto 21, nucl 6, extr 4",0.93,A1Z1Q3
ENSP00000367327,ENSG00000069424,ENST00000378087,0.111,0.096,PredHel=0,0.981772,"mito 14, cyto_nucl 8.66667, mito_pero 8.66667",0.929,NA
ENSP00000367330,ENSG00000204954,ENST00000378090,0.646,0.845,PredHel=0,0.923609,"extr 11, cyto 9, cyto_nucl 7.5, mito 5, nucl ",0.928,Q69YU5
ENSP00000367351,ENSG00000069424,ENST00000378111,0.111,0.095,PredHel=0,0.981985,"mito 13, cyto_nucl 9.66667, nucl 8, cyto 7, c",0.917,Q5TG84
ENSP00000367377,ENSG00000108292,ENST00000378137,0.125,0.152,PredHel=0,0.534345,"nucl 22, cyto 6, extr 3, cyto_mito 3, cyto_pl",0.934,NA
ENSP00000367470,ENSG00000152463,ENST00000378225,0.169,0.097,PredHel=0,0.839286,"cyto_nucl 13.5, cyto 12, extr 11, nucl 9",0.919,Q5VUC0
ENSP00000367487,ENSG00000152457,ENST00000378241,0.117,0.067,PredHel=0,0.243507,"extr 21, cyto 9, cyto_nucl 6.5",0.91,X6R9W9
ENSP00000367499,ENSG00000125899,ENST00000378252,0.126,0.114,PredHel=0,0.136075,"extr 22, cyto 5.5, cyto_nucl 5.5, nucl 4.5",0.938,NA
ENSP00000367557,ENSG00000167578,ENST00000378307,0.214,0.511,PredHel=0,0.439987,"mito 15, cyto 10, cyto_nucl 9, nucl 4",0.918,Q6PIK3
ENSP00000367562,ENSG00000213593,ENST00000378312,0.326,0.927,PredHel=0,0.540015,"nucl 23, mito 5, extr 2",0.917,Q9Y320
ENSP00000367582,ENSG00000152455,ENST00000378331,0.103,0.042,PredHel=0,0.991849,"cyto 17, mito 10, extr 4",0.962,G5E9A8
ENSP00000367601,ENSG00000205020,ENST00000378350,0.913,0.973,PredHel=1,0.497035,extr 32,0.914,NA
ENSP00000367603,ENSG00000205020,ENST00000378352,0.913,0.967,PredHel=1,0.68547,extr 32,0.969,NA
ENSP00000367605,ENSG00000256515,ENST00000378354,0.887,0.978,PredHel=0,0.71947,extr 32,0.95,NA
ENSP00000367687,ENSG00000137101,ENST00000378430,0.11,0.069,PredHel=0,0.97813,"cyto 15, cyto_nucl 14.5, nucl 10, extr 3",0.912,Q5T4Q7
ENSP00000367703,ENSG00000185267,ENST00000378442,0.104,0.072,PredHel=0,0.981574,"extr 23, mito 7",0.92,Q49AH0
ENSP00000367808,ENSG00000162585,ENST00000378546,0.14,0.015,PredHel=0,0.922482,"nucl 19.5, cyto_nucl 13, mito 6, cyto 3.5",0.91,Q6NZ36
ENSP00000367811,ENSG00000136156,ENST00000378549,0.127,0.243,PredHel=1,0.897887,"cyto 26, extr 3",0.958,Q9Y287
ENSP00000367832,ENSG00000108688,ENST00000378569,0.89,0.956,PredHel=0,0.199394,"extr 28, plas 1, mito 1, E.R. 1, lyso 1, E.R.",0.927,P80098
ENSP00000367839,ENSG00000106484,ENST00000378576,0.661,0.916,PredHel=0,0.979232,"extr 16, mito 6, plas 5, E.R. 3, cyto_mito 3",0.914,Q5EB52
ENSP00000367952,ENSG00000165623,ENST00000378681,0.731,0.931,PredHel=0,0.461882,extr 32,0.977,Q8WVF2
ENSP00000367977,ENSG00000198947,ENST00000378705,0.101,0.063,PredHel=0,0.507953,"cyto 12.5, extr 11, cyto_nucl 9.5, nucl 3.5, ",0.944,H0Y3E8
ENSP00000368052,ENSG00000164938,ENST00000378776,0.114,0.072,PredHel=0,0.507853,"cyto_nucl 12.5, nucl 12, extr 11, cyto 9",0.949,NA
ENSP00000368077,ENSG00000172724,ENST00000378800,0.834,0.982,PredHel=0,0.079005,extr 32,0.959,Q5VZ75
ENSP00000368104,ENSG00000125845,ENST00000378827,0.851,0.792,PredHel=1,0.0669345,"extr 14, plas 9, E.R. 4, cyto 3.5, cyto_pero ",0.936,P12643
ENSP00000368116,ENSG00000151468,ENST00000378839,0.102,0.033,PredHel=0,0.881745,"cyto 18.5, cyto_nucl 14.5, nucl 7.5, extr 4",0.912,Q9BQI4
ENSP00000368119,ENSG00000213930,ENST00000378842,0.102,0.035,PredHel=0,0.906291,"cyto_nucl 15, nucl 14, cyto 12, extr 3",0.905,P07902
ENSP00000463350,ENSG00000157423,ENST00000378856,0.101,0.046,PredHel=0,0.557635,extr 31,0.94,J3QL30
ENSP00000368184,ENSG00000214397,ENST00000378904,0.172,0.092,PredHel=0,0.573106,"extr 11, nucl 9.5, cyto_nucl 8.5, cyto 6.5, m",0.932,Q6MZR2
ENSP00000368230,ENSG00000197536,ENST00000378947,0.123,0.089,PredHel=0,0.970378,"extr 25, cyto_nucl 5.5, nucl 4",0.938,A6NHD6
ENSP00000368236,ENSG00000197536,ENST00000378953,0.12,0.072,PredHel=0,0.864257,"cyto_nucl 16, cyto 14, nucl 12, extr 6",0.93,Q8N8D9
ENSP00000368292,ENSG00000205174,ENST00000379007,0.252,0.545,PredHel=0,0.444323,"extr 14, extr_plas 10.5, mito 6.5, plas 5, E.",0.959,NA
ENSP00000368309,ENSG00000105672,ENST00000379023,0.136,0.15,PredHel=0,0.583761,"nucl 31, cyto_nucl 17",0.946,Q3KNT2
ENSP00000368362,ENSG00000205186,ENST00000379071,0.107,0.095,PredHel=0,0.211978,"cyto 27, cyto_nucl 15.5, extr 2, nucl 2",0.91,Q0Z7S8
ENSP00000368370,ENSG00000184937,ENST00000379079,0.099,0.043,PredHel=0,0.884078,"nucl 31.5, cyto_nucl 16.5",0.954,P19544
ENSP00000368383,ENSG00000196391,ENST00000379090,0.124,0.115,PredHel=0,0.547355,"cyto_nucl 13, cyto 11, extr 10, nucl 9",0.921,E7EQ77
ENSP00000368412,ENSG00000075790,ENST00000379117,0.208,0.968,PredHel=3,0.804505,"E.R. 26, extr 3",0.921,Q9UHQ4
ENSP00000368416,ENSG00000075790,ENST00000379121,0.26,0.637,PredHel=0,0.818858,"mito 15, extr 13, pero 2",0.904,NA
ENSP00000368419,ENSG00000164972,ENST00000379124,0.107,0.033,PredHel=0,0.740316,extr 29,0.911,Q8NCR6
ENSP00000368421,ENSG00000164972,ENST00000379126,0.108,0.062,PredHel=0,0.732378,extr 31,0.922,Q8NCR6
ENSP00000368422,ENSG00000164972,ENST00000379127,0.107,0.033,PredHel=0,0.740316,extr 29,0.911,Q8NCR6
ENSP00000368428,ENSG00000164972,ENST00000379133,0.107,0.024,PredHel=0,0.894161,"extr 21, cyto 9",0.927,Q8NCR6
ENSP00000368429,ENSG00000105698,ENST00000379134,0.109,0.155,PredHel=0,0.881372,"nucl 31.5, cyto_nucl 16.5",0.965,Q15853
ENSP00000368497,ENSG00000169519,ENST00000379199,0.129,0.179,PredHel=0,0.937092,"extr 23, cyto 8",0.939,NA
ENSP00000368503,ENSG00000205208,ENST00000379205,0.103,0.068,PredHel=0,0.697387,"nucl 16.5, cyto_nucl 14.5, cyto 9.5, extr 5",0.938,Q504U0
ENSP00000368523,ENSG00000120675,ENST00000379221,0.105,0.101,PredHel=1,0.984764,"cyto 17, pero 4, extr 3, nucl 3, mito 2.5, E.",0.908,Q9Y5T4
ENSP00000368555,ENSG00000130066,ENST00000379253,0.142,0.074,PredHel=0,0.772005,"extr 23, cyto 4, mito 3, cyto_nucl 3",0.91,A6NM56
ENSP00000368556,ENSG00000130066,ENST00000379254,0.143,0.124,PredHel=0,0.877297,"cyto 25, cyto_nucl 14.5, mito 4",0.945,E9PD37
ENSP00000368663,ENSG00000176371,ENST00000379358,0.123,0.169,PredHel=0,0.97625,"cyto_nucl 13, cyto 12.5, extr 9, nucl 8.5",0.915,Q7Z7L9
ENSP00000368747,ENSG00000205274,ENST00000379435,0.618,0.709,PredHel=0,0.920164,extr 30,0.947,A0A075B6H5
ENSP00000368905,ENSG00000137434,ENST00000379586,0.1,0.052,PredHel=0,0.414346,"cyto 13.5, cyto_nucl 13, nucl 11.5, extr 6",0.914,Q5T4I8
ENSP00000368910,ENSG00000205318,ENST00000379591,0.205,0.346,PredHel=0,0.362499,"extr 16, cyto 9, cyto_nucl 7, mito 4",0.93,NA
ENSP00000368938,ENSG00000152503,ENST00000379618,0.106,0.068,PredHel=0,0.766148,"extr 16, cyto 10, nucl 4",0.92,Q9NQ86
ENSP00000427827,ENSG00000145777,ENST00000379706,0.241,0.178,PredHel=0,0.949304,"cyto 18.5, cyto_nucl 13, nucl 6.5, extr 6",0.904,Q969D9
ENSP00000369029,ENSG00000107262,ENST00000379707,0.102,0.036,PredHel=0,0.342767,"cyto_nucl 16, nucl 13.5, cyto 11.5, extr 6",0.965,F1LLU6
ENSP00000369033,ENSG00000198879,ENST00000379711,0.102,0.048,PredHel=0,0.863738,"nucl 12, cyto_nucl 12, extr 10, cyto 8",0.924,Q5T980
ENSP00000369035,ENSG00000198879,ENST00000379713,0.102,0.048,PredHel=0,0.903418,"cyto 11, plas 7, mito 7, pero 4",0.912,Q5T981
ENSP00000369176,ENSG00000165264,ENST00000379847,0.099,0.125,PredHel=1,0.653341,"cyto 14.5, cyto_nucl 10.5, extr 9, nucl 5.5",0.917,O95139
ENSP00000369320,ENSG00000102104,ENST00000379984,0.777,0.933,PredHel=0,0.73541,"extr 14, nucl 7, extr_plas 7, mito 4, lyso 4",0.9,O15537
ENSP00000369331,ENSG00000147894,ENST00000379995,0.137,0.143,PredHel=0,0.547572,"cyto 18, cyto_nucl 15.5, mito 7, nucl 5",0.902,Q96LT7
ENSP00000369333,ENSG00000147894,ENST00000379997,0.137,0.143,PredHel=0,0.547572,"cyto 18, cyto_nucl 15.5, mito 7, nucl 5",0.902,Q96LT7
ENSP00000369398,ENSG00000105793,ENST00000380058,0.117,0.052,PredHel=0,0.847739,"extr 17, cyto 9.5, cyto_nucl 6, mito 4",0.934,A4D1E9
ENSP00000369456,ENSG00000125877,ENST00000380113,0.119,0.104,PredHel=0,0.895754,"cyto 17, extr 11, cyto_nucl 10.5",0.904,Q9BY32
ENSP00000369492,ENSG00000261509,ENST00000380147,0.141,0.028,PredHel=0,0.94949,"extr 15, cyto_nucl 9.16667, cyto 8, nucl 6, c",0.924,NA
ENSP00000454398,ENSG00000205456,ENST00000380148,0.141,0.028,PredHel=0,0.94949,"extr 15, cyto_nucl 9.16667, cyto 8, nucl 6, c",0.924,Q9ULZ0
ENSP00000420610,ENSG00000185689,ENST00000380175,0.111,0.076,PredHel=0,0.976326,"nucl 19.5, cyto_nucl 14.5, cyto 8.5",0.918,Q7Z4U5
ENSP00000369527,ENSG00000163110,ENST00000380180,0.125,0.099,PredHel=0,0.81341,"cyto 14, cyto_nucl 12.5, nucl 9, mito 7",0.93,Q96HC4
ENSP00000369565,ENSG00000073910,ENST00000380217,0.25,0.52,PredHel=0,0.991658,"extr 10, cyto 9.5, cyto_nucl 9.5, nucl 8.5",0.914,Q5JS89
ENSP00000369623,ENSG00000108021,ENST00000380270,0.099,0.116,PredHel=0,0.917322,"nucl 24, cyto 7",0.943,J3KPH3
ENSP00000369638,ENSG00000028528,ENST00000380285,0.12,0.087,PredHel=0,0.898852,"cyto_nucl 13, cyto 12, nucl 10, extr 9",0.924,J3KPH4
ENSP00000369647,ENSG00000101200,ENST00000380293,0.737,0.909,PredHel=0,0.986658,extr 32,0.947,P01185
ENSP00000369660,ENSG00000180822,ENST00000380305,0.144,0.249,PredHel=0,0.972505,"extr 26, cyto 2.5, cyto_nucl 2.5, nucl 1.5",0.928,E2QRC7
ENSP00000369671,ENSG00000244734,ENST00000380315,0.114,0.103,PredHel=0,0.862159,"cyto 24.5, cyto_nucl 15.5, nucl 5.5",0.912,F8W6P5
ENSP00000369726,ENSG00000137274,ENST00000380368,0.253,0.237,PredHel=0,0.874187,"mito 26, nucl 2.5, extr 2, cyto_nucl 2",0.935,Q49AI2
ENSP00000369739,ENSG00000137274,ENST00000380379,0.452,0.082,PredHel=0,0.67102,"mito 19, cyto 10.5, cyto_nucl 6",0.904,Q86WA6
ENSP00000369895,ENSG00000046647,ENST00000380523,0.122,0.023,PredHel=0,0.865546,"mito 18.5, cyto_mito 12.5, cyto_nucl 5.5, cyt",0.924,Q9NWZ8
ENSP00000369911,ENSG00000178031,ENST00000380538,0.127,0.122,PredHel=0,0.290415,"extr 27, cyto 3",0.927,H7BYE3
ENSP00000369930,ENSG00000255529,ENST00000380557,0.112,0.021,PredHel=0,0.65467,"nucl 23, cyto 6",0.902,P0CAP2
ENSP00000369946,ENSG00000120907,ENST00000380572,0.131,0.67,PredHel=6,0.559121,plas 32,0.982,P35348
ENSP00000369961,ENSG00000120907,ENST00000380587,0.131,0.67,PredHel=6,0.952914,plas 32,0.951,NA
ENSP00000370067,ENSG00000005302,ENST00000380691,0.119,0.049,PredHel=0,0.972919,"cyto 18, mito 9, cyto_pero 9, cyto_plas 9, cy",0.921,H7BYE4
ENSP00000370139,ENSG00000004961,ENST00000380762,0.146,0.087,PredHel=0,0.535679,"extr 13, cyto_nucl 7, nucl 6.5, cyto 6.5, ext",0.926,P53701
ENSP00000370140,ENSG00000004961,ENST00000380763,0.146,0.087,PredHel=0,0.535679,"extr 13, cyto_nucl 7, nucl 6.5, cyto 6.5, ext",0.926,P53701
ENSP00000370143,ENSG00000197822,ENST00000380766,0.1,0.17,PredHel=4,0.61546,plas 30,0.912,NA
ENSP00000370177,ENSG00000164975,ENST00000380799,0.106,0.057,PredHel=0,0.262134,"extr 16, cyto 10.5, cyto_nucl 8, extr_plas 8",0.913,Q5T284
ENSP00000370379,ENSG00000119782,ENST00000380991,0.103,0.093,PredHel=0,0.951791,"extr 16, cyto 7.5, mito 6, cyto_nucl 5.5",0.905,P68106
ENSP00000370380,ENSG00000184281,ENST00000380992,0.121,0.048,PredHel=0,0.809659,"mito 11, cyto_nucl 8.5, extr 7, cyto 7, nucl ",0.917,A6NCC9
ENSP00000370462,ENSG00000067057,ENST00000381072,0.213,0.188,PredHel=0,0.321142,"mito 17, cyto 11.5, cyto_nucl 8",0.933,B1APP8
ENSP00000370595,ENSG00000100341,ENST00000381198,0.131,0.064,PredHel=0,0.965384,"nucl 9.5, cyto_nucl 8.5, cyto 6.5, plas 4, ex",0.962,Q7Z6Z6
ENSP00000370654,ENSG00000171476,ENST00000381255,0.103,0.101,PredHel=0,0.718552,"cyto 14.5, cyto_nucl 12, nucl 8.5, extr 6",0.913,Q9BPY8
ENSP00000370678,ENSG00000128274,ENST00000381278,0.157,0.32,PredHel=1,0.982202,"mito 17.5, cyto_mito 11, cyto 3.5, plas 3, nu",0.949,Q9NPC4
ENSP00000370706,ENSG00000185736,ENST00000381305,0.11,0.041,PredHel=0,0.995201,"nucl 17.5, cyto_nucl 11.5, extr 9, cyto 4.5, ",0.951,Q5VW43
ENSP00000370711,ENSG00000185736,ENST00000381310,0.213,0.138,PredHel=0,0.996931,"nucl 15, cyto 13.5, cyto_pero 7.5",0.93,Q9NS39
ENSP00000370725,ENSG00000104918,ENST00000381324,0.777,0.968,PredHel=0,0.411627,extr 32,0.929,Q9HD89
ENSP00000370731,ENSG00000254647,ENST00000381330,0.891,0.973,PredHel=0,0.955087,extr 32,0.974,P01308
ENSP00000370904,ENSG00000205745,ENST00000381493,0.131,0.11,PredHel=0,0.929332,"extr 17, cyto_nucl 9, cyto 8.5, extr_plas 8.5",0.9,NA
ENSP00000370925,ENSG00000214026,ENST00000381514,0.156,0.023,PredHel=0,0.254731,"mito 22.5, cyto_mito 13.5, nucl 5",0.97,A6NJD9
ENSP00000370930,ENSG00000214026,ENST00000381519,0.156,0.028,PredHel=0,0.779787,"mito 27, nucl 3",0.961,Q16540
ENSP00000370978,ENSG00000205755,ENST00000381566,0.789,0.96,PredHel=1,0.0257379,extr 30,0.93,Q9HC73
ENSP00000370987,ENSG00000185960,ENST00000381575,0.1,0.045,PredHel=0,0.790398,"nucl 30.5, cyto_nucl 16.5",0.932,O15266
ENSP00000371034,ENSG00000125900,ENST00000381621,0.636,0.98,PredHel=0,0.0375635,"extr 20, mito 5, cyto_nucl 3.5, cyto 2.5, E.R",0.926,Q5TFQ5
ENSP00000371036,ENSG00000125900,ENST00000381623,0.636,0.98,PredHel=0,0.0358286,"extr 20, mito 5, cyto_nucl 3.5, cyto 2.5, E.R",0.918,Q9H106
ENSP00000371231,ENSG00000189067,ENST00000381810,0.1,0.062,PredHel=0,0.99711,"nucl 16.5, cyto_nucl 14, extr 8, cyto 6.5",0.928,Q99732
ENSP00000371311,ENSG00000163960,ENST00000381887,0.198,0.068,PredHel=0,0.921603,"extr 12, nucl 9.5, cyto_nucl 8.5, cyto 6.5",0.937,H7BYF4
ENSP00000371314,ENSG00000106686,ENST00000381890,0.134,0.225,PredHel=0,0.764253,"cyto_nucl 13, nucl 12, cyto 12, mito 4.5, E.R",0.908,F8W9P2
ENSP00000371370,ENSG00000101276,ENST00000381944,0.354,0.992,PredHel=9,0.655309,plas 32,0.9,Q9NQ40
ENSP00000371388,ENSG00000271303,ENST00000381962,0.117,0.036,PredHel=0,0.984614,"cyto_nucl 14.5, nucl 12.5, cyto 11.5, extr 6",0.929,Q9BYN0
ENSP00000371414,ENSG00000080298,ENST00000381984,0.115,0.084,PredHel=0,0.305609,"nucl 20.5, cyto_nucl 15, cyto 6.5, extr 4",0.925,A9Z1Z2
ENSP00000371643,ENSG00000205883,ENST00000382208,0.867,0.934,PredHel=0,0.636069,extr 32,0.942,Q30KP9
ENSP00000371644,ENSG00000205884,ENST00000382209,0.866,0.938,PredHel=0,0.135959,extr 32,0.927,Q30KP8
